Date,open,high,low,close,adjclose,volume,ingested_at_utc
20-07-2021,225500,229500,225000,227000,185640.4844,636495,2026-02-19 06:47:45.287325+00:00
21-07-2021,231500,232000,227500,228000,186458.2813,631902,2026-02-19 06:47:45.287325+00:00
22-07-2021,228500,231500,227500,228500,186867.1719,790428,2026-02-19 06:47:45.287325+00:00
23-07-2021,229000,229000,224000,225500,184413.7969,1574776,2026-02-19 06:47:45.287325+00:00
26-07-2021,225500,226500,224000,224500,183595.9844,719330,2026-02-19 06:47:45.287325+00:00
27-07-2021,225500,226500,224000,225000,184004.8906,738143,2026-02-19 06:47:45.287325+00:00
28-07-2021,225000,225000,221000,222500,181960.4063,886854,2026-02-19 06:47:45.287325+00:00
29-07-2021,223000,224000,222000,222000,181551.4844,496679,2026-02-19 06:47:45.287325+00:00
30-07-2021,222000,222000,218000,218000,178280.2813,909716,2026-02-19 06:47:45.287325+00:00
02-08-2021,218000,220500,217000,220000,179915.8906,676544,2026-02-19 06:47:45.287325+00:00
03-08-2021,219000,223500,218000,223500,182778.1875,775231,2026-02-19 06:47:45.287325+00:00
04-08-2021,224000,225000,222500,225000,184004.8906,542319,2026-02-19 06:47:45.287325+00:00
05-08-2021,223000,224500,222500,223000,182369.3125,470741,2026-02-19 06:47:45.287325+00:00
06-08-2021,224500,225000,222500,222500,181960.4063,384056,2026-02-19 06:47:45.287325+00:00
09-08-2021,220500,222500,220000,221000,180733.7031,582236,2026-02-19 06:47:45.287325+00:00
10-08-2021,220500,221000,218500,219000,179098.0781,497715,2026-02-19 06:47:45.287325+00:00
11-08-2021,219000,220500,218000,218500,178689.1875,490442,2026-02-19 06:47:45.287325+00:00
12-08-2021,220000,224000,219000,219000,179098.0781,862826,2026-02-19 06:47:45.287325+00:00
13-08-2021,221500,221500,214000,217000,177462.4844,864375,2026-02-19 06:47:45.287325+00:00
17-08-2021,216000,217000,211000,213000,174191.2813,863610,2026-02-19 06:47:45.287325+00:00
18-08-2021,211000,214000,209000,212500,173782.4063,671920,2026-02-19 06:47:45.287325+00:00
19-08-2021,212500,212500,205000,206500,168875.5938,1180734,2026-02-19 06:47:45.287325+00:00
20-08-2021,207000,208000,200000,201500,164786.6094,1310974,2026-02-19 06:47:45.287325+00:00
23-08-2021,203000,206000,201500,204000,166831.1094,848219,2026-02-19 06:47:45.287325+00:00
24-08-2021,206000,211000,206000,209500,171329,745430,2026-02-19 06:47:45.287325+00:00
25-08-2021,210000,212500,207500,209500,171329,477019,2026-02-19 06:47:45.287325+00:00
26-08-2021,209500,212000,208000,210000,171737.875,417323,2026-02-19 06:47:45.287325+00:00
27-08-2021,209000,209500,205000,208500,170511.2031,502218,2026-02-19 06:47:45.287325+00:00
30-08-2021,211000,212500,210000,210000,171737.875,409963,2026-02-19 06:47:45.287325+00:00
